Depth CCSF (m),filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Ru,Rh,Pd,Cd,Sb,Ba,Ce,Pr,Nd,Tb,Tm,Lu,Hf,Os,Ir,Pt,Hg,Tl,Pb,Th,Pa,U,Cr kb,Ca ka-a sum,Ca ka-b sum,S2,W la,W la scat,W lb1,W lb1 scat,W lb2,W lb2 scat,Cr inc,Cr coh,Dt,Unnamed: 68,SectionFile,SectionLabel,File,Core,Section Top Depth CCSF (m),Section Bottom Depth CCSF (m)
20.57,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000006.spe,17.61,6.58,1,0.021481999999999998,-0.002728,0.009691,0.085882,43934,5.79,0,309,2406,0,273,8685,2593,14339,493277,0,8867,128,0,15807,169,144,93,329,23,141,2111,55,228,0,0,120,107,0,716,0,216,543,0,53,45,9,13,41,0,136,0,0,82,38,141,6198,703,154,4476,125,9,0,151,0,215,12260,35688,0.09300000000000001,,U1474D_4H1-L000006.spe,U1474D_4H1,L000006.spe,U1474D_4,20.548000000000002,22.048000000000002
20.59,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000019.spe,43.61,6.62,1,0.021481999999999998,-0.002728,0.009691,0.085882,38261,5.52,0,227,2064,0,190,7890,2758,12875,413523,0,8770,32,0,14782,178,112,36,688,68,105,1856,112,156,0,0,62,108,0,582,0,271,727,0,49,14,42,24,0,0,188,0,20,0,68,82,5781,556,78,4711,103,20,33,139,0,29,11061,33498,0.091,,U1474D_4H1-L000019.spe,U1474D_4H1,L000019.spe,U1474D_4,20.548000000000002,22.048000000000002
20.61,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000029.spe,63.61,6.63,1,0.021481999999999998,-0.002728,0.009691,0.085882,40187,5.98,0,250,2454,0,194,8285,2440,14600,419305,0,9616,167,0,17830,172,165,34,472,0,186,1897,140,238,0,0,70,103,0,773,0,308,564,0,129,0,43,45,64,0,149,0,33,83,45,145,6589,520,146,5536,125,51,0,188,0,189,12578,36226,0.096,,U1474D_4H1-L000029.spe,U1474D_4H1,L000029.spe,U1474D_4,20.548000000000002,22.048000000000002
20.63,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000039.spe,83.61,6.57,1,0.021481999999999998,-0.002728,0.009691,0.085882,42976,6.22,0,237,2523,0,171,8186,2388,14579,458925,0,9656,203,0,17190,172,124,53,404,39,154,1999,130,259,0,0,84,163,0,760,0,212,363,30,110,0,28,70,29,0,139,0,0,35,36,37,6482,571,166,5323,81,43,42,139,0,78,13090,35455,0.096,,U1474D_4H1-L000039.spe,U1474D_4H1,L000039.spe,U1474D_4,20.548000000000002,22.048000000000002
20.65,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000049.spe,103.61,6.5,1,0.021481999999999998,-0.002728,0.009691,0.085882,42191,5.91,0,328,2525,0,220,7752,2252,13594,494988,0,9109,204,0,14589,167,120,40,465,24,133,1891,110,240,0,0,159,161,0,582,0,227,454,0,42,111,53,23,53,0,203,0,0,110,114,113,6145,799,139,4336,165,59,35,119,0,69,12055,33004,0.08900000000000001,,U1474D_4H1-L000049.spe,U1474D_4H1,L000049.spe,U1474D_4,20.548000000000002,22.048000000000002
20.67,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000059.spe,123.61,6.47,1,0.021481999999999998,-0.002728,0.009691,0.085882,35400,6.21,33,298,2572,0,171,7719,2145,14142,401863,0,10055,142,0,16909,171,102,61,496,82,181,1885,119,228,0,0,92,147,0,766,0,216,332,0,25,0,39,10,0,0,212,0,37,177,98,126,6525,531,106,5074,93,12,0,190,0,234,13381,34597,0.09300000000000001,,U1474D_4H1-L000059.spe,U1474D_4H1,L000059.spe,U1474D_4,20.548000000000002,22.048000000000002
20.7,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000071.spe,147.61,6.58,1,0.021481999999999998,-0.002728,0.009691,0.085882,39488,5.57,0,287,2391,0,75,7682,2176,14246,438995,0,9828,206,0,16418,176,124,35,195,61,175,1866,105,244,0,0,78,140,0,728,0,196,493,5,63,0,0,28,12,0,125,0,0,85,0,66,6442,554,111,4941,4,0,144,67,0,0,11945,34216,0.092,,U1474D_4H1-L000071.spe,U1474D_4H1,L000071.spe,U1474D_4,20.548000000000002,22.048000000000002
20.72,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000081.spe,167.61,6.62,1,0.021481999999999998,-0.002728,0.009691,0.085882,46047,6.49,0,330,2232,0,161,7482,2350,13366,510023,0,8608,231,0,15373,186,110,32,149,81,213,2032,115,232,0,0,113,209,0,855,0,167,475,0,51,0,38,12,9,0,102,0,0,91,15,130,6341,870,208,4414,100,10,22,83,0,67,11899,32897,0.092,,U1474D_4H1-L000081.spe,U1474D_4H1,L000081.spe,U1474D_4,20.548000000000002,22.048000000000002
20.74,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000091.spe,187.61,6.61,1,0.021481999999999998,-0.002728,0.009691,0.085882,43967,5.97,0,284,2531,0,185,7673,2341,14338,467557,0,9788,243,0,16558,190,161,78,171,88,203,1872,133,202,0,58,108,142,0,750,0,230,362,9,15,0,99,0,0,0,102,0,32,45,39,141,6132,645,146,4953,157,12,0,213,0,203,12487,34119,0.091,,U1474D_4H1-L000091.spe,U1474D_4H1,L000091.spe,U1474D_4,20.548000000000002,22.048000000000002
20.76,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000101.spe,207.61,6.62,1,0.021481999999999998,-0.002728,0.009691,0.085882,38341,5.35,7,298,2510,0,142,7603,2311,14590,393339,0,10154,230,0,18287,164,113,20,183,41,154,1759,131,213,0,0,98,85,0,722,0,209,455,0,61,0,0,0,62,0,205,0,60,79,28,46,6255,436,58,4904,56,0,0,15,0,143,12126,36136,0.095,,U1474D_4H1-L000101.spe,U1474D_4H1,L000101.spe,U1474D_4,20.548000000000002,22.048000000000002
20.78,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000111.spe,227.61,6.65,1,0.021481999999999998,-0.002728,0.009691,0.085882,40057,5.51,0,320,2668,0,170,7647,2246,15264,427618,0,10710,201,0,18388,178,140,35,250,67,170,1772,115,297,0,0,67,148,0,681,0,209,679,0,85,0,13,44,19,0,109,0,0,130,81,69,6624,505,123,4514,124,32,159,67,0,0,11313,35678,0.09300000000000001,,U1474D_4H1-L000111.spe,U1474D_4H1,L000111.spe,U1474D_4,20.548000000000002,22.048000000000002
20.8,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000121.spe,247.61,6.66,1,0.021481999999999998,-0.002728,0.009691,0.085882,41701,6.09,0,289,2626,0,105,6939,2205,15303,465478,0,10631,121,0,16975,185,214,41,161,71,137,1932,72,289,0,0,155,76,0,651,0,275,624,13,127,0,57,30,0,0,34,0,0,34,0,53,6713,523,127,4914,83,0,250,16,37,0,11281,34346,0.092,,U1474D_4H1-L000121.spe,U1474D_4H1,L000121.spe,U1474D_4,20.548000000000002,22.048000000000002
20.82,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000131.spe,267.61,6.65,1,0.021481999999999998,-0.002728,0.009691,0.085882,41969,7.06,4,319,2771,0,91,7079,2362,15646,469124,0,10723,119,0,17361,157,114,49,97,80,181,1911,95,193,0,0,116,112,0,654,0,278,511,0,72,0,16,96,0,0,184,0,0,12,7,0,6671,642,132,5775,68,12,0,183,0,92,11595,34599,0.092,,U1474D_4H1-L000131.spe,U1474D_4H1,L000131.spe,U1474D_4,20.548000000000002,22.048000000000002
20.84,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000141.spe,287.61,6.66,1,0.021481999999999998,-0.002728,0.009691,0.085882,42337,6.24,15,335,2754,0,64,6695,2216,15330,472278,0,10245,169,0,16848,165,130,14,111,54,220,1875,81,265,0,0,112,202,0,683,0,218,396,0,93,0,0,40,35,0,121,0,0,41,0,56,6695,553,151,4888,65,13,0,206,0,128,12193,33668,0.09300000000000001,,U1474D_4H1-L000141.spe,U1474D_4H1,L000141.spe,U1474D_4,20.548000000000002,22.048000000000002
20.86,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000151.spe,307.61,6.67,1,0.021481999999999998,-0.002728,0.009691,0.085882,43550,6.39,0,316,2666,0,64,6862,2252,15475,482973,0,10047,199,0,16657,174,153,14,116,48,259,1998,169,221,0,0,78,165,0,931,0,266,702,43,68,0,0,24,28,0,176,0,0,107,0,84,6420,641,176,4920,68,7,135,103,0,0,11054,34243,0.094,,U1474D_4H1-L000151.spe,U1474D_4H1,L000151.spe,U1474D_4,20.548000000000002,22.048000000000002
20.88,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000161.spe,327.61,6.65,1,0.021481999999999998,-0.002728,0.009691,0.085882,42046,6.91,0,296,2698,0,70,6839,2228,14700,493293,0,9642,250,0,16614,145,109,72,87,0,190,1917,152,159,0,0,97,146,0,872,0,221,607,0,15,0,0,0,126,0,85,0,0,96,23,79,6770,851,180,5340,39,0,0,25,0,54,11236,33831,0.09,,U1474D_4H1-L000161.spe,U1474D_4H1,L000161.spe,U1474D_4,20.548000000000002,22.048000000000002
20.9,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000171.spe,347.61,6.65,1,0.021481999999999998,-0.002728,0.009691,0.085882,46274,6.58,0,307,2264,0,21,7004,2265,13095,562166,0,8023,246,0,13346,144,168,35,117,33,136,2133,126,242,0,0,84,178,0,686,0,189,326,0,74,11,7,8,19,0,94,0,0,121,76,68,6287,875,190,4115,70,0,40,51,0,27,11649,31638,0.092,,U1474D_4H1-L000171.spe,U1474D_4H1,L000171.spe,U1474D_4,20.548000000000002,22.048000000000002
20.92,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000181.spe,367.61,6.65,1,0.021481999999999998,-0.002728,0.009691,0.085882,50808,6.72,0,317,2121,0,41,7223,2254,11790,609529,0,6858,130,0,10977,103,138,0,139,77,120,2242,160,220,0,0,92,303,0,874,0,142,462,44,109,12,16,16,0,0,199,0,0,143,51,69,5982,1116,277,3543,47,0,0,88,0,130,10534,30405,0.09300000000000001,,U1474D_4H1-L000181.spe,U1474D_4H1,L000181.spe,U1474D_4,20.548000000000002,22.048000000000002
20.94,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000191.spe,387.61,6.67,1,0.021481999999999998,-0.002728,0.009691,0.085882,48223,6.67,0,284,2293,0,0,7097,2342,12489,580040,0,7112,158,0,12509,184,130,0,78,58,159,2198,137,266,0,0,6,251,0,781,0,205,460,0,94,93,0,58,10,0,79,0,0,118,20,86,6127,1000,177,3984,68,11,0,145,0,48,10770,31502,0.091,,U1474D_4H1-L000191.spe,U1474D_4H1,L000191.spe,U1474D_4,20.548000000000002,22.048000000000002
20.96,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000201.spe,407.61,6.67,1,0.021481999999999998,-0.002728,0.009691,0.085882,48556,6.77,0,223,2351,0,0,6882,2246,12706,583949,0,7465,94,0,12005,118,135,17,130,58,163,2207,60,193,0,0,133,288,0,830,0,221,503,22,43,0,28,0,0,0,156,0,0,74,38,25,5947,1053,292,3818,52,0,0,80,0,0,10644,30753,0.091,,U1474D_4H1-L000201.spe,U1474D_4H1,L000201.spe,U1474D_4,20.548000000000002,22.048000000000002
20.98,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000211.spe,427.61,6.68,1,0.021481999999999998,-0.002728,0.009691,0.085882,48024,7.07,0,323,2230,0,27,6834,2372,13057,578163,0,7475,120,0,12585,118,135,0,79,35,190,2129,126,227,0,0,99,216,0,776,0,203,412,0,56,0,30,42,14,0,120,0,0,9,21,78,6019,956,265,4732,73,34,0,149,0,63,10884,31241,0.09,,U1474D_4H1-L000211.spe,U1474D_4H1,L000211.spe,U1474D_4,20.548000000000002,22.048000000000002
21.0,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000221.spe,447.61,6.69,1,0.021481999999999998,-0.002728,0.009691,0.085882,48919,6.84,0,311,2438,0,106,6938,2162,13696,561728,0,8141,254,0,13107,135,124,6,98,90,193,2101,140,214,0,0,202,163,0,642,0,168,587,0,71,10,16,0,0,0,106,0,0,111,0,14,6108,1010,228,4561,76,56,0,146,0,147,10478,32012,0.092,,U1474D_4H1-L000221.spe,U1474D_4H1,L000221.spe,U1474D_4,20.548000000000002,22.048000000000002
21.02,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000231.spe,467.61,6.7,1,0.021481999999999998,-0.002728,0.009691,0.085882,45024,6.48,0,282,2484,0,86,6953,2380,13714,548766,0,8039,78,0,13097,177,155,20,55,74,87,2144,51,156,0,0,103,175,0,695,0,215,466,0,71,46,11,11,0,0,139,0,0,28,60,71,6132,810,146,4290,90,0,0,136,0,207,11290,32435,0.091,,U1474D_4H1-L000231.spe,U1474D_4H1,L000231.spe,U1474D_4,20.548000000000002,22.048000000000002
21.04,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000241.spe,487.61,6.7,1,0.021481999999999998,-0.002728,0.009691,0.085882,46750,6.44,6,327,2484,0,196,7062,2486,13983,551970,0,8585,131,0,13992,113,157,20,98,63,60,2188,79,153,0,0,54,210,0,586,0,228,591,0,30,34,0,66,45,0,88,0,0,53,121,73,6028,856,192,4442,60,0,0,179,0,330,10498,32644,0.091,,U1474D_4H1-L000241.spe,U1474D_4H1,L000241.spe,U1474D_4,20.548000000000002,22.048000000000002
21.06,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000251.spe,507.61,6.7,1,0.021481999999999998,-0.002728,0.009691,0.085882,47802,6.06,0,322,2607,0,80,6521,2417,14439,545123,0,8654,154,0,14415,148,198,51,79,43,83,2082,128,239,0,0,88,209,0,714,0,175,483,0,80,61,12,27,7,0,136,0,0,61,92,121,6275,819,125,3794,32,0,0,82,0,151,11297,32418,0.09300000000000001,,U1474D_4H1-L000251.spe,U1474D_4H1,L000251.spe,U1474D_4,20.548000000000002,22.048000000000002
21.08,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000261.spe,527.61,6.7,1,0.021481999999999998,-0.002728,0.009691,0.085882,45415,6.2,0,341,2578,0,95,6854,2273,14510,527390,0,8880,123,0,15216,178,150,38,105,37,166,2127,64,231,0,0,103,185,0,716,0,245,401,0,66,36,53,12,13,0,7,0,0,41,70,53,6148,853,176,4605,105,30,0,0,39,158,11535,33444,0.09300000000000001,,U1474D_4H1-L000261.spe,U1474D_4H1,L000261.spe,U1474D_4,20.548000000000002,22.048000000000002
21.1,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000271.spe,547.61,6.69,1,0.021481999999999998,-0.002728,0.009691,0.085882,45313,6.43,0,303,2644,0,21,6826,2272,14881,520444,0,9058,105,0,14530,171,138,76,82,126,142,2068,104,211,0,0,136,177,0,797,0,237,352,7,67,27,16,55,0,0,104,0,0,0,20,80,6787,865,150,4652,94,0,138,154,0,0,12018,33402,0.092,,U1474D_4H1-L000271.spe,U1474D_4H1,L000271.spe,U1474D_4,20.548000000000002,22.048000000000002
21.12,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000281.spe,567.61,6.69,1,0.021481999999999998,-0.002728,0.009691,0.085882,43953,6.21,0,296,2582,0,139,7319,2430,14746,507394,0,9395,196,0,14863,163,113,57,137,90,120,2087,143,266,0,0,11,186,0,672,0,195,312,0,56,32,40,34,0,0,79,0,0,31,109,50,6255,765,161,4298,150,68,0,181,0,290,12357,33420,0.091,,U1474D_4H1-L000281.spe,U1474D_4H1,L000281.spe,U1474D_4,20.548000000000002,22.048000000000002
21.14,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000291.spe,587.61,6.68,1,0.021481999999999998,-0.002728,0.009691,0.085882,44923,6.63,0,269,2348,0,87,7523,2326,14574,517828,0,8798,295,0,14487,146,164,20,83,45,172,2010,167,253,0,0,141,160,0,884,0,115,495,0,68,19,12,0,14,0,188,0,0,51,0,72,6280,761,117,4664,67,0,0,87,0,91,11745,33189,0.091,,U1474D_4H1-L000291.spe,U1474D_4H1,L000291.spe,U1474D_4,20.548000000000002,22.048000000000002
21.16,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000301.spe,607.61,6.67,1,0.021481999999999998,-0.002728,0.009691,0.085882,43736,6.27,0,299,2377,0,19,7417,2357,14245,521943,0,9310,161,0,14052,167,138,39,114,87,98,1984,98,290,0,0,130,184,0,651,0,223,554,0,35,37,26,38,42,0,155,0,0,40,75,137,6575,837,212,4344,83,51,0,113,0,225,10987,33275,0.09,,U1474D_4H1-L000301.spe,U1474D_4H1,L000301.spe,U1474D_4,20.548000000000002,22.048000000000002
21.18,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000311.spe,627.61,6.68,1,0.021481999999999998,-0.002728,0.009691,0.085882,45034,6.24,0,247,2249,0,98,7547,2359,13865,514023,0,9388,101,0,14381,183,147,31,116,71,198,2044,189,236,0,0,115,155,0,564,0,205,366,0,38,0,30,60,10,0,180,0,0,45,10,69,6149,790,218,4625,64,25,167,147,0,0,12315,32823,0.092,,U1474D_4H1-L000311.spe,U1474D_4H1,L000311.spe,U1474D_4,20.548000000000002,22.048000000000002
21.2,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000321.spe,647.61,6.67,1,0.021481999999999998,-0.002728,0.009691,0.085882,45080,5.84,0,274,2434,0,124,7357,2514,14054,522477,0,8875,187,0,14288,121,133,32,122,33,55,2074,128,295,0,0,52,184,0,821,0,131,508,43,135,56,18,36,38,0,211,0,0,56,176,114,5917,813,136,3865,46,0,0,180,0,82,11949,33439,0.09300000000000001,,U1474D_4H1-L000321.spe,U1474D_4H1,L000321.spe,U1474D_4,20.548000000000002,22.048000000000002
21.22,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000331.spe,667.61,6.66,1,0.021481999999999998,-0.002728,0.009691,0.085882,44792,6.74,0,272,2480,0,70,7427,2467,13773,516444,0,8797,123,0,14526,163,56,0,102,39,182,1894,66,230,0,0,78,148,0,720,0,235,424,39,63,71,48,8,0,0,128,0,0,5,0,24,6253,883,132,4968,80,0,0,163,0,48,11756,33061,0.092,,U1474D_4H1-L000331.spe,U1474D_4H1,L000331.spe,U1474D_4,20.548000000000002,22.048000000000002
21.24,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000341.spe,687.61,6.64,1,0.021481999999999998,-0.002728,0.009691,0.085882,44036,6.15,0,263,2400,0,64,7475,2379,13693,509693,0,9040,39,0,15002,130,161,7,86,60,199,2002,106,212,0,0,101,151,0,474,0,265,574,18,16,27,49,0,5,0,120,0,29,88,50,119,6043,779,176,4955,80,41,0,153,0,349,11158,33353,0.08900000000000001,,U1474D_4H1-L000341.spe,U1474D_4H1,L000341.spe,U1474D_4,20.548000000000002,22.048000000000002
21.26,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000351.spe,707.61,6.63,1,0.021481999999999998,-0.002728,0.009691,0.085882,45305,6.37,0,303,2389,0,140,7700,2563,13726,501214,0,9315,231,0,15111,184,135,42,106,5,38,2120,136,278,0,0,19,185,0,594,0,226,573,0,52,0,8,32,83,0,43,0,22,108,144,108,6247,793,213,5019,155,0,0,89,35,126,11438,33675,0.09300000000000001,,U1474D_4H1-L000351.spe,U1474D_4H1,L000351.spe,U1474D_4,20.548000000000002,22.048000000000002
