Depth CCSF-361-U1474-ABDEF-20160220 (m),Best Depth CCSF (m)
0.3,
0.92,1.07
2.5,
3.08,
3.57,
5.192,6.02
5.442,
7.412,
8.062,
10.102,10.25
10.192,
12.837,
13.963,
16.963,17.01
19.963,19.963
22.003,
27.336,
29.846,
30.626,30.614
34.326,
35,
36.32,
38,
40.39,
48.053,48.044
48.993,
52.623,52.6
55.322,
59.053,
62.013,
62.448,
65.033,65.06
68.207,
71.217,
71.357,
74.357,
80.116,
81.686,
82.711,
83.011,
85.991,
89.97,
92.51,
92.97,
95.97,
101.574,
103.914,
104.574,
104.768,
106.994,
111.089,
111.156,
111.589,
112.089,
112.589,
112.975,
113.149,
113.536,
113.589,
114.089,
114.176,114.2
114.589,
115.139,
116.457,
116.957,
117.236,
117.457,
117.957,
118.457,
118.957,
119.467,
119.967,
120.467,
120.997,
121.497,
121.997,
122.009,
124.789,
125.049,124.323
127.879,
132.314,
135.114,
135.234,135.234
138.354,
140.265,141.095
143.025,
143.285,
146.345,
150.512,
151.872,
153.512,
156.492,
159.714,
162.604,
162.734,
165.744,
171.263,
173.873,
174.263,174.325
177.273,
181.209,
184.049,
184.219,
187.249,
193.015,193.015
193.955,
196.025,196.025
197.565,197.565
205.957,205.957
207.227,
208.947,
211.927,
216.915,216.915
219.865,
220.115,220.12
224.425,24.43
227.275,
227.425,227.24
230.415,
236.184,
237.374,
239.154,237.73
244.048,244.048
246.638,
247.058,
253.526,
255.916,
256.516,
258.886,
264.395,
265.565,
269.248,
275.578,
276.178,