Standard,Al2O3,Ba,CaO,Cr,Cu,Fe2O3 T,K2O,MgO,MnO,Na2O,Ni,P2O5,P2O5,Sc,SiO2,SiO2,Sr,TiO2,V,Y,Zn,Zr
MAG-1,16.4,480,1.37,97,30,6.8,3.55,3,0.098,3.83,53,0.16,0.16,17,57.8,57.8,150,0.75,140,28,130,130
JA-2,15.41,321,5.92,436,29.7,5.85,1.81,7.6,0.108,3.11388,130,0.146,0.146,19.6,,,,0.66,126,18.3,64.7,116
GSP-2,14.9,1340,2.1,20,43,4.9,5.38,0.96,0.0413184,2.78,17,0.29,0.29,6.3,66.6,66.6,240,0.66,52,28,120,550
SCO-1,13.7,570,2.62,68,29,5.13,2.77,2.72,0.0529392,0.9,27,0.21,0.21,11,62.8,62.8,170,0.63,130,26,100,160
JS1-1,17.62,,1.43,58,40,6.4,2.85,2.48,0.062,2.2,38.5,0.19,0.19,,60.3,60.3,192,0.73,135,,112,
W2,15.45,170,10.53,92,110,10.83,0.626,6.37,0.167,2.2,70,0.14,0.14,36,52.68,52.68,190,1.06,260,23,80,100
MAG-1,16.4,480,1.37,97,30,6.8,3.55,3,0.098,3.83,53,0.16,0.16,17,57.8,57.8,150,0.75,140,28,130,130
JA-2,15.41,321,5.92,436,29.7,5.85,1.81,7.6,0.108,3.11388,130,0.146,0.146,19.6,,,,0.66,126,18.3,64.7,116
GSP-2,14.9,1340,2.1,20,43,4.9,5.38,0.96,0.0413184,2.78,17,0.29,0.29,6.3,66.6,66.6,240,0.66,52,28,120,550
SCO-1,13.7,570,2.62,68,29,5.13,2.77,2.72,0.0529392,0.9,27,0.21,0.21,11,62.8,62.8,170,0.63,130,26,100,160
JS1-1,17.62,,1.43,58,40,6.4,2.85,2.48,0.062,2.2,38.5,0.19,0.19,,60.3,60.3,192,0.73,135,,112,
W2,15.45,170,10.53,92,110,10.83,0.626,6.37,0.167,2.2,70,0.14,0.14,36,52.68,52.68,190,1.06,260,23,80,100