"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CCSF-361-U1474-ABDEF-20160220 (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Comments"
"361","U1474","A","1","H","1","W","30.0","31.0","0.300","0.300","4.705","39.193","5.0276","0.0000","0.0984","0.32",""
"361","U1474","A","1","H","2","W","100.0","101.0","2.500","2.500","5.554","46.265","","0.0000","0.1027","",""
"361","U1474","A","1","H","3","W","8.0","9.0","3.080","3.080","3.581","29.830","3.8940","0.0000","0.0601","0.31",""
"361","U1474","A","2","H","2","W","4.0","5.0","6.940","5.442","3.781","31.496","","0.0000","0.1158","",""
"361","U1474","A","2","H","3","W","116.0","117.0","9.560","8.062","3.977","33.128","","0.0000","0.1238","",""
"361","U1474","A","2","H","5","W","29.0","30.0","11.690","10.192","6.878","57.294","","0.0000","0.0945","",""
"361","U1474","A","2","H","5","W","29.0","30.0","11.690","10.192","6.8558","57.109","","","","",""
"361","U1474","A","3","H","3","W","65.0","66.0","18.550","16.853","","","","0.0000","0.1056","",""
"361","U1474","A","4","H","4","W","35.0","36.0","29.250","29.846","5.664","47.181","6.2178","0.0000","0.0864","0.55",""
"361","U1474","A","5","H","2","W","66.0","67.0","36.060","36.320","2.919","24.315","","0.0000","0.1211","",""
"361","U1474","A","5","H","2","W","66.0","67.0","36.060","36.320","2.9862","24.875","","","","",""
"361","U1474","A","6","H","3","W","21.0","22.0","46.610","48.993","5.199","43.308","5.5188","0.0000","0.0921","0.32",""
"361","U1474","A","7","H","5","W","50.0","51.0","59.400","62.013","4.582","38.168","","","","",""
"361","U1474","A","8","H","4","W","70.0","71.0","67.600","71.217","2.115","17.618","2.4727","0.0000","0.1214","0.36",""
"361","U1474","A","8","H","4","W","70.0","71.0","67.600","71.217","2.0710","17.251","","","","",""
"361","U1474","A","9","H","4","W","74.0","75.0","77.140","82.711","3.663","30.513","4.3943","0.0000","0.0936","0.73",""
"361","U1474","A","10","H","4","W","60.0","61.0","86.500","92.510","3.990","33.237","","0.0000","0.0904","",""
"361","U1474","A","11","H","4","W","39.0","40.0","95.790","103.914","3.749","31.229","","0.0000","0.0772","",""
"361","U1474","A","12","H","4","W","40.0","41.0","105.330","113.536","4.177","34.794","","0.0000","0.1345","",""
"361","U1474","A","12","H","4","W","40.0","41.0","105.330","113.536","","","","0.0000","0.0805","",""
"361","U1474","A","13","H","4","W","80.0","81.0","115.210","124.789","3.959","32.978","4.3899","0.0000","0.1045","0.43",""
"361","U1474","A","14","H","4","W","90.0","91.0","124.800","135.114","4.979","41.475","","0.0000","0.0957","",""
"361","U1474","A","15","H","4","W","80.0","81.0","134.230","143.025","4.843","40.342","5.0707","0.0000","0.0830","0.23",""
"361","U1474","A","16","H","3","W","90.0","91.0","142.300","151.872","4.146","34.536","","0.0000","0.1107","",""
"361","U1474","A","17","H","4","W","89.0","90.0","153.310","162.604","4.180","34.819","4.4515","0.0000","0.1150","0.27",""
"361","U1474","A","18","H","4","W","62.0","63.0","162.520","173.873","4.543","37.843","4.9369","0.0000","0.0931","0.39",""
"361","U1474","A","19","H","4","W","83.0","84.0","172.250","184.049","4.816","40.117","","0.0000","0.0935","",""
"361","U1474","A","20","H","3","W","40.0","41.0","179.800","193.955","5.394","44.932","","0.0000","0.1085","",""
"361","U1474","A","21","H","3","W","84.0","85.0","189.730","207.227","4.614","38.435","","0.0000","0.1075","",""
"361","U1474","A","21","H","3","W","84.0","85.0","189.730","207.227","0.0022","0.018","","","","",""
"361","U1474","A","22","H","4","W","95.0","96.0","200.870","219.865","5.138","42.800","5.8940","0.0000","0.1014","0.76",""
"361","U1474","A","23","H","4","W","91.0","92.0","210.310","227.275","6.292","52.412","6.8050","0.0000","0.1032","0.51",""
"361","U1474","A","24","H","3","W","80.0","81.0","218.190","237.374","5.049","42.058","","0.0000","0.1039","",""
"361","U1474","A","24","H","3","W","80.0","81.0","218.190","237.374","4.9783","41.469","","","","",""
"361","U1474","A","25","H","4","W","60.0","61.0","227.100","246.638","4.575","38.110","","0.0000","0.1132","",""
"361","U1474","A","25","H","4","W","60.0","61.0","227.100","246.638","0.0021","0.017","","","","",""
"361","U1474","A","26","H","4","W","50.0","51.0","236.390","255.916","4.326","36.036","","0.0000","0.1228","",""
"361","U1474","A","27","H","4","W","60.0","61.0","244.760","265.565","4.824","40.184","","0.0000","0.0980","",""
"361","U1474","A","28","F","2","W","90.0","91.0","246.220","269.248","4.601","38.326","4.8857","0.0000","0.0997","0.28",""
"361","U1474","A","28","F","2","W","90.0","91.0","246.220","269.248","4.4975","37.464","","","","",""
"361","U1474","A","29","F","2","W","50.0","51.0","251.610","275.578","5.318","44.299","","0.0000","0.1513","",""
"361","U1474","F","12","H","4","W","75.0","76.0","103.450","111.089","4.068","33.886","","","","",""
"361","U1474","F","12","H","4","W","125.0","126.0","103.950","111.589","4.024","33.520","","","","",""
"361","U1474","F","12","H","5","W","25.0","26.0","104.450","112.089","4.258","35.469","","","","",""
"361","U1474","F","12","H","5","W","75.0","76.0","104.950","112.589","5.045","42.025","","","","",""
"361","U1474","F","12","H","5","W","131.0","132.0","105.510","113.149","4.580","38.151","","","","",""
"361","U1474","F","12","H","6","W","25.0","26.0","105.950","113.589","4.599","38.310","","","","",""
"361","U1474","F","12","H","6","W","75.0","76.0","106.450","114.089","4.640","38.651","","","","",""
"361","U1474","F","12","H","6","W","125.0","126.0","106.950","114.589","4.926","41.034","","","","",""
"361","U1474","F","12","H","7","W","30.0","31.0","107.500","115.139","4.470","37.235","","","","",""
"361","U1474","F","13","H","1","W","25.0","26.0","107.950","116.457","4.826","40.201","","","","",""
"361","U1474","F","13","H","1","W","75.0","76.0","108.450","116.957","4.921","40.992","","","","",""
"361","U1474","F","13","H","1","W","125.0","126.0","108.950","117.457","4.910","40.900","","","","",""
"361","U1474","F","13","H","2","W","25.0","26.0","109.450","117.957","4.916","40.950","","","","",""
"361","U1474","F","13","H","2","W","75.0","76.0","109.950","118.457","4.656","38.784","","","","",""
"361","U1474","F","13","H","2","W","125.0","126.0","110.450","118.957","4.669","38.893","","","","",""
"361","U1474","F","13","H","3","W","25.0","26.0","110.960","119.467","4.078","33.970","","","","",""
"361","U1474","F","13","H","3","W","75.0","76.0","111.460","119.967","11.409","95.037","","","","",""
"361","U1474","F","13","H","3","W","75.0","76.0","111.460","119.967","4.1351","34.445","","","","",""
"361","U1474","F","13","H","3","W","125.0","126.0","111.960","120.467","3.685","30.696","","","","",""
"361","U1474","F","13","H","4","W","25.0","26.0","112.490","120.997","4.155","34.611","","","","",""
"361","U1474","F","13","H","4","W","75.0","76.0","112.990","121.497","3.620","30.155","","","","",""
"361","U1474","F","13","H","4","W","125.0","126.0","113.490","121.997","4.034","33.603","","","","",""
