Depth CCSF (m),Exp,Site,Hole,Core,Type,Sect,A/W,%CaCO3,Ïƒ %CaCO3,Source,Best Depth CCSF (m)
0.3,361,U1474,A,1,H,1,W,39.193000000000005,0.46505444162528764,IODP,0.3
0.92,361,U1474,A,1,H,1,W,40.66,1.9094500495959568,This Study,1.0
2.5,361,U1474,A,1,H,2,W,46.265,0.5489690440077037,IODP,2.5
3.08,361,U1474,A,1,H,3,W,29.83,0.3539554000378213,IODP,3.08
3.57,361,U1474,A,1,H,3,W,37.23,1.7483724876157765,This Study,3.65
5.442,361,U1474,A,2,H,2,W,31.496,0.37372374386829427,IODP,5.442
5.192,361,U1474,A,2,H,1,W,32.78,1.539394309536534,This Study,5.99
7.412,361,U1474,A,2,H,3,W,40.33,1.8939527914462602,This Study,8.0
8.062,361,U1474,A,2,H,3,W,33.128,0.3930886521103903,IODP,8.062
10.192,361,U1474,A,2,H,5,W,57.201499999999996,0.6787388473102056,IODP,10.192
10.102,361,U1474,A,2,H,5,W,56.19,2.6387604103983477,This Study,10.365
12.837,361,U1474,A,2,H,7,W,39.99,1.8779859194132396,This Study,12.79
13.963,361,U1474,A,3,H,1,W,44.37,2.083676800309213,This Study,13.963
16.963,361,U1474,A,3,H,3,W,49.83,2.340085980604194,This Study,16.963
19.963,361,U1474,A,3,H,5,W,52.93,2.4856662844346777,This Study,19.963
22.003,361,U1474,A,3,H,7,W,49.12,2.30674339488818,This Study,22.07
224.425,361,U1474,A,23,H,2,W,55.55,2.6087051218656025,This Study,24.43
27.336,361,U1474,A,4,H,2,A,37.86,1.7779581622651974,This Study,27.34
29.846,361,U1474,A,4,H,4,W,47.181000000000004,0.5598380733886841,IODP,29.846
30.626,361,U1474,A,4,H,4,W,35.86,1.6840353856003691,This Study,30.625999999999998
34.326,361,U1474,A,4,H,7,W,44.93,2.109975177775365,This Study,34.27
35.0,361,U1474,A,5,H,1,W,46.01,2.160693477174372,This Study,35.0
36.32,361,U1474,A,5,H,2,W,24.595,0.29183818518036253,IODP,36.32
38.0,361,U1474,A,5,H,3,W,41.93,1.9690910127781227,This Study,38.0
40.39,361,U1474,A,5,H,5,W,32.17,1.5107478626537614,This Study,40.39
48.053,361,U1474,A,6,H,2,W,32.31,1.5173224570202992,This Study,48.03
48.993,361,U1474,A,6,H,3,W,43.308,0.513882013571504,IODP,48.993
52.623,361,U1474,A,6,H,5,W,46.81,2.1982625878403037,This Study,52.61
55.322,361,U1474,A,6,H,7,W,40.7,1.9113285051292535,This Study,55.321999999999996
59.053,361,U1474,A,7,H,3,W,42.15,1.9794225182112537,This Study,59.24
62.013,361,U1474,A,7,H,5,W,38.168,0.452892045210981,IODP,62.013
62.448,361,U1474,A,7,H,5,W,37.22,1.7479028737324522,This Study,62.52
65.033,361,U1474,A,7,H,7,W,36.84,1.7300575461661352,This Study,65.06
68.207,361,U1474,A,8,H,2,W,40.05,1.880803602713184,This Study,68.367
71.217,361,U1474,A,8,H,4,W,17.4345,0.2068734636929063,IODP,71.217
71.357,361,U1474,A,8,H,4,W,36.41,1.7098641491831967,This Study,71.34
74.357,361,U1474,A,8,H,6,W,25.79,1.2111342050929592,This Study,74.32
80.116,361,U1474,A,9,H,2,W,38.5,1.8080134507979424,This Study,80.0
82.711,361,U1474,A,9,H,4,W,30.513,0.36205970906315926,IODP,82.711
83.011,361,U1474,A,9,H,4,W,35.13,1.649753572117707,This Study,83.0
81.686,361,U1474,B,9,H,4,W,16.38,0.7692275408849427,This Study,83.855
85.991,361,U1474,A,9,H,6,W,33.86,1.590112608935541,This Study,86.01
89.97,361,U1474,A,10,H,2,W,39.93,1.8751682361132946,This Study,89.95
92.51,361,U1474,A,10,H,4,W,33.236999999999995,0.3943820191437165,IODP,92.51
92.97,361,U1474,A,10,H,4,W,39.08,1.8352510560307425,This Study,93.44
95.97,361,U1474,A,10,H,6,W,31.61,1.4844494851876093,This Study,96.85
101.574,361,U1474,A,11,H,2,W,18.18,0.8537580398832881,This Study,100.56
103.914,361,U1474,A,11,H,4,W,31.229,0.3705555879242749,IODP,103.914
104.574,361,U1474,A,11,H,4,W,40.69,1.9108588912459292,This Study,104.574
104.768,361,U1474,B,11,H,5,W,44.13,2.072406067109434,This Study,104.768
106.994,361,U1474,A,11,H,6,W,40.17,1.886438969313074,This Study,106.994
111.156,361,U1474,A,12,H,2,W,34.62,1.6258032640681757,This Study,111.08
111.089,361,U1474,F,12,H,4,W,33.885999999999996,0.40208289258067753,IODP,111.089
111.589,361,U1474,F,12,H,4,W,33.52,0.39774002712932516,IODP,111.589
112.089,361,U1474,F,12,H,5,W,35.469,0.42086637894540674,IODP,112.089
112.589,361,U1474,F,12,H,5,W,42.025,0.49865825298657185,IODP,112.589
112.975,361,U1474,B,12,H,4,W,23.41,1.0993661008618139,This Study,112.975
113.149,361,U1474,F,12,H,5,W,38.150999999999996,0.45269032741679244,IODP,113.149
113.536,361,U1474,A,12,H,4,W,34.794000000000004,0.4128569959408634,IODP,113.536
113.589,361,U1474,F,12,H,6,W,38.31,0.45457698208008496,IODP,113.589
114.089,361,U1474,F,12,H,6,W,38.650999999999996,0.4586232037164542,IODP,114.089
114.176,361,U1474,A,12,H,4,W,39.19,1.840416808747308,This Study,114.255
114.589,361,U1474,F,12,H,6,W,41.034,0.4868992921606422,IODP,114.589
115.139,361,U1474,F,12,H,7,W,37.235,0.4418212980358121,IODP,115.139
116.457,361,U1474,F,13,H,1,W,40.201,0.4770151202454057,IODP,116.457
116.957,361,U1474,F,13,H,1,W,40.992,0.4864009305514706,IODP,116.957
117.236,361,U1474,A,12,H,6,W,41.8,1.9629860322949089,This Study,117.236
117.457,361,U1474,F,13,H,1,W,40.9,0.48530928131233286,IODP,117.457
117.957,361,U1474,F,13,H,2,W,40.95,0.4859025689422991,IODP,117.957
118.457,361,U1474,F,13,H,2,W,38.784,0.46020134881216423,IODP,118.457
118.957,361,U1474,F,13,H,2,W,38.893,0.46149471584549057,IODP,118.957
119.467,361,U1474,F,13,H,3,W,33.97,0.40307961579902074,IODP,119.467
119.967,361,U1474,F,13,H,3,W,34.445,0.40871584828369945,IODP,119.967
120.467,361,U1474,F,13,H,3,W,30.695999999999998,0.3642311417888354,IODP,120.467
120.997,361,U1474,F,13,H,4,W,34.611,0.41068556321518707,IODP,120.997
122.009,361,U1474,A,13,H,2,W,34.79,1.6337867000846862,This Study,121.3
121.497,361,U1474,F,13,H,4,W,30.155,0.3578117696326014,IODP,121.497
121.997,361,U1474,F,13,H,4,W,33.603,0.398724884595069,IODP,121.997
125.049,361,U1474,A,13,H,4,W,29.41,1.3811344308562983,This Study,124.37
124.789,361,U1474,A,13,H,4,W,32.978,0.3913087892204918,IODP,124.789
127.879,361,U1474,A,13,H,6,W,37.9,1.779836617798494,This Study,127.87899999999999
132.314,361,U1474,A,14,H,2,W,31.89,1.4975986739206852,This Study,132.03
135.114,361,U1474,A,14,H,4,W,41.475,0.49213208905694394,IODP,135.114
135.234,361,U1474,A,14,H,4,W,36.95,1.7352232988827008,This Study,135.234
138.354,361,U1474,A,14,H,6,W,39.89,1.873289780579998,This Study,138.59
140.265,361,U1474,A,15,H,2,W,37.97,1.7831239149817628,This Study,141.095
143.025,361,U1474,A,15,H,4,W,40.342,0.4786881913619103,IODP,143.025
143.285,361,U1474,A,15,H,4,W,40.55,1.9042842968793912,This Study,143.25
146.345,361,U1474,A,15,H,6,W,44.91,2.1090359500087166,This Study,146.35
150.512,361,U1474,A,16,H,2,W,37.48,1.76011283469888,This Study,150.68
151.872,361,U1474,A,16,H,3,W,34.536,0.40979563177023787,IODP,151.872
153.512,361,U1474,A,16,H,4,W,37.06,1.7403890515992662,This Study,153.69
156.492,361,U1474,A,16,H,6,W,32.19,1.5116870904204094,This Study,156.46
159.714,361,U1474,A,17,H,2,W,40.95,1.9230688522123571,This Study,159.46
162.734,361,U1474,A,17,H,4,W,36.47,1.7126818324831419,This Study,162.09
162.604,361,U1474,A,17,H,4,W,34.819,0.41315363975584646,IODP,162.604
165.744,361,U1474,A,17,H,6,W,45.29,2.126881277575034,This Study,165.665
171.263,361,U1474,A,18,H,2,W,42.52,1.9967982318942472,This Study,171.55
173.873,361,U1474,A,18,H,4,W,37.843,0.44903567561620084,IODP,173.873
174.263,361,U1474,A,18,H,4,W,43.44,2.040002709160068,This Study,174.3
177.273,361,U1474,A,18,H,6,W,46.76,2.195914518423683,This Study,177.27
181.209,361,U1474,A,19,H,2,W,38.99,1.8310245310808255,This Study,181.26
184.049,361,U1474,A,19,H,4,W,40.117,0.4760183970270625,IODP,184.049
184.219,361,U1474,A,19,H,4,W,42.69,2.0047816679107573,This Study,184.23
187.249,361,U1474,A,19,H,6,W,50.485,2.3708456899619255,This Study,187.25
193.015,361,U1474,A,20,H,2,W,44.879999999999995,2.107627108358744,This Study,193.02
193.955,361,U1474,A,20,H,3,W,44.931999999999995,0.5331519957928054,IODP,193.955
196.025,361,U1474,A,20,H,4,W,44.965,2.1116188263669997,This Study,196.03
197.565,361,U1474,A,20,H,5,W,50.155,2.355348431812229,This Study,197.57
205.957,361,U1474,A,21,H,2,W,41.86,1.9658037155948538,This Study,205.96
207.227,361,U1474,A,21,H,3,W,38.435,0.4560602011550004,IODP,207.227
208.947,361,U1474,A,21,H,4,W,45.010000000000005,2.1137320888419584,This Study,208.95
211.927,361,U1474,A,21,H,6,W,35.275,1.6565629734259069,This Study,211.93
216.915,361,U1474,A,22,H,2,W,37.09,1.7417978932492386,This Study,216.92
219.865,361,U1474,A,22,H,4,W,42.8,0.5078542112510476,IODP,219.865
220.115,361,U1474,A,22,H,4,W,47.47,2.229257104139697,This Study,220.12
227.425,361,U1474,A,23,H,4,W,56.019999999999996,2.630776974381837,This Study,227.24
227.275,361,U1474,A,23,H,4,W,52.412,0.6219078252357455,IODP,227.275
230.415,361,U1474,A,23,H,6,W,53.84,2.5284011478171746,This Study,230.42
236.184,361,U1474,A,24,H,2,W,47.010000000000005,2.2076548655067865,This Study,236.18
237.374,361,U1474,A,24,H,3,W,41.76349999999999,0.4955553586818487,IODP,237.374
239.154,361,U1474,A,24,H,4,W,47.05,2.209533321040083,This Study,239.15
244.048,361,U1474,A,25,H,2,W,36.84,1.7300575461661352,This Study,244.05
246.638,361,U1474,A,25,H,4,W,38.11,0.4522038315602202,IODP,246.638
247.058,361,U1474,A,25,H,4,W,44.74,2.1010525139922063,This Study,247.04
253.526,361,U1474,A,26,H,2,W,23.67,1.1115760618282415,This Study,253.526
255.916,361,U1474,A,26,H,4,W,36.036,0.4275942606692232,IODP,255.916
256.516,361,U1474,A,26,H,4,W,36.29,1.7042287825833073,This Study,256.516
258.886,361,U1474,A,26,H,6,W,39.81,1.869532869513405,This Study,258.886
264.395,361,U1474,A,27,H,3,W,40.94,1.9225992383290327,This Study,264.395
265.565,361,U1474,A,27,H,4,W,40.184,0.47681340245121717,IODP,265.565
269.248,361,U1474,A,28,F,2,W,37.894999999999996,0.4496526947513656,IODP,269.248
275.578,361,U1474,A,29,F,2,W,44.299,0.5256409743974336,IODP,275.578
276.178,361,U1474,A,29,F,2,W,46.9,2.2024891127902206,This Study,276.178
